batterId,team,lastName,firstName,batHand,throwHand,freshmanYear
1069,BC,Alu,Jake,L,R,15
1070,BC,Baldelli,Dante,R,R,16
1072,BC,Bigras,Mitch,L,L,14
1071,BC,Braren,Scott,L,L,14
1064,BC,Cunningham,Jack,L,R,16
1068,BC,Dempsey,Brian,R,R,16
1063,BC,Galland,Chris,R,R,17
1065,BC,Martellini,Gian,R,R,15
1067,BC,Maselli,Anthony,L,R,14
1062,BC,Palomaki,Jake,S,R,14
1066,BC,Suozzi,Joe,R,R,16
1020,CIN,Baker,Cael,R,R,17
1016,CIN,Bremner,Dondrae,L,R,17
1005,CIN,Bumpass,Aj,L,R,15
1015,CIN,Deanna,Mason,R,R,15
1006,CIN,Haberkorn,Treg,L,L,14
1002,CIN,Mcvey,Connor,R,R,13
1026,CIN,Mercer,Jace,S,R,16
1000,CIN,Mottice,Kyle,L,R,16
1025,CIN,Murphy,Cole,L,R,15
1019,CIN,Ramey,Jordan,R,R,15
1001,CIN,Rodriguez,Manny,R,R,14
1004,CIN,Santiago,Eric,R,R,16
1003,CIN,Wiemer,Joey,R,R,17
1080,CIT,Buffington,Cole,R,R,15
1077,CIT,Cothran,Taylor,R,R,15
1081,CIT,Davis,JD,R,R,16
1073,CIT,Judkins,Andrew,L,L,17
1074,CIT,Kinney,William,R,R,14
1078,CIT,Martin,Clay,L,L,14
1079,CIT,Massey,Aidan,R,R,17
1076,CIT,Peden,Ben,L,R,15
1075,CIT,Sabo,Jonathan,R,R,14
1029,CU,Beer,Seth,L,R,15
1033,CU,Byrd,Grayson,L,R,14
1027,CU,Cromwell,Patrick,L,R,14
1028,CU,Davidson,Logan,S,R,16
1036,CU,Greene,Jordan,R,R,15
1037,CU,Hawkins,Justin,R,R,14
1031,CU,Jolly,Robert,L,R,14
1035,CU,Teodosio,Bryce,R,L,17
1032,CU,Wharton,Drew,R,R,14
1034,CU,Wilkie,Kyle,R,R,16
1030,CU,Williams,Chris,R,R,14
1043,EKU,Botsoe,Chris,R,R,15
1045,EKU,Conklin,Corey,L,R,14
1048,EKU,Dehass,Brandon,R,R,17
1046,EKU,Harris,Daniel,R,R,17
1041,EKU,Holderbach,Alex,R,R,15
1042,EKU,Howie,Nick,R,R,16
1047,EKU,Johnson,Will,R,R,14
1044,EKU,Jones,Miles,L,L,16
1039,EKU,Kerr,Ryland,R,R,14
1038,EKU,Mcfarland,Daniel,L,L,14
1040,EKU,Romanik,Tyler,R,R,15
1093,FS,Albert,Reese,L,L,17
1086,FS,Aplin,Rhett,L,L,14
1091,FS,Bournigal,Rafael,L,R,13
1092,FS,Cavanaugh,Kyle,R,R,13
1087,FS,Derr,Nick,R,R,16
1095,FS,Foster,Jonathan,R,R,15
1094,FS,Frey,Skylar,R,R,15
1088,FS,Herron,Jared,R,R,16
1083,FS,Lueck,Jackson,S,R,15
1084,FS,Mendoza,Drew,L,R,16
1085,FS,Raleigh,Cal,S,R,15
1082,FS,Salvatore,Mike,R,R,15
1090,FS,Swanson,Cooper,R,R,17
1089,FS,Wells,Steven,R,R,14
1058,INS,Ayers,Chris,L,R,15
1049,INS,Dungan,Clay,L,R,15
1055,INS,Enriquez,Roberto,L,L,15
1056,INS,Fegen,Luke,R,R,15
1051,INS,Giesler,Dane,L,R,13
1050,INS,Huntley,Cj,R,R,15
1061,INS,Jaco,Hayden,R,R,15
1054,INS,Means,Jake,R,R,15
1060,INS,Nowaskie,Brandt,L,R,15
1052,INS,Tofteland,Dane,R,R,14
1053,INS,Watkins,Jarrod,L,R,15
1057,INS,Wright,Max,L,R,16
1022,LOU,Bianco,Ben,R,R,17
1018,LOU,Britton,Zach,L,R,17
1013,LOU,Campbell,Drew,L,L,16
1021,LOU,Dunn,Lucas,R,R,17
1024,LOU,Elliott,Adam,L,L,16
1007,LOU,Fitzgerald,Tyler,R,R,16
1017,LOU,Lavey,Justin,R,R,16
1009,LOU,Mann,Devin,R,R,15
1012,LOU,Oriente,Danny,R,R,16
1059,LOU,Pinkham,Zeke,L,R,15
1014,LOU,Rumoro,Pat,R,R,15
1008,LOU,Snider,Jake,L,R,16
1011,LOU,Stowers,Josh,R,R,15
1023,LOU,Stringer,Ethan,R,R,16
1010,LOU,Wyatt,Logan,L,L,16
1096,MASON,Acker,Brady,R,R,14
1103,MASON,Aponte,Alejandro,S,R,15
1106,MASON,Callahan,John,R,R,16
1097,MASON,Driscoll,Logan,L,R,16
1105,MASON,Driscoll,Garett,R,R,13
1098,MASON,Kelly,Trevor,R,R,14
1101,MASON,Morgan,Scott,L,R,17
1100,MASON,Nelin,Tyler,R,R,14
1102,MASON,Popatak,Greg,L,R,15
1099,MASON,Quinn,Tim,L,L,15
1104,MASON,Smith,Michael,L,L,14
1175,MOR,Boggess,Eli,R,R,14
1179,MOR,Fain,Hunter,R,R,15
1183,MOR,Freese,Jordan,L,R,15
1185,MOR,Hammon,Jake,L,R,15
1184,MOR,Harvey,Lane,R,R,15
1173,MOR,Hensor,Bryce,R,R,17
1176,MOR,Leonard,Reid,R,R,15
1172,MOR,Morris,Braxton,R,R,15
1180,MOR,Niemann,Tyler,L,R,14
1174,MOR,Pauly,Connor,L,L,15
1178,MOR,Rapp,Adam,L,R,15
1181,MOR,Shoupe,Brody,R,R,16
1177,MOR,Snyder,Trevor,R,R,15
1182,MOR,Sustersic,Sam,R,R,15
1187,NKU,Bacon,Andrew,,,
1190,NKU,Doersching,Griffin,,,
1188,NKU,Haueter,Will,,,
1195,NKU,Heavilin,Cole,,,
1194,NKU,Hohman,Collin,,,
1191,NKU,Mercurio,Dominic,,,
1193,NKU,Paradis,Shane,,,
1192,NKU,Rattai,Nolan,,,
1186,NKU,Richmond,Jake,,,
1189,NKU,Roberts,Chad,,,
1111,PIT,Banman,Nick,,,
1113,PIT,Cappas,Chris,,,
1114,PIT,Maclaren,Cole,,,
1107,PIT,Maldonado,Frank,,,
1112,PIT,Parry,Caleb,,,
1115,PIT,Perry,Connor,,,
1109,PIT,Sabino,Liam,,,
1110,PIT,Washington,Ron,,,
1108,PIT,Yanni,David,,,
1200,RICH,Adams,Kyle,,,
1202,RICH,Bruhl,Sage,,,
1198,RICH,Brumbaugh,Daniel,,,
1197,RICH,Capra,Vinny,,,
1201,RICH,Cook,Justin,,,
1204,RICH,Forte,Anthony,,,
1196,RICH,Lee,DJ,,,
1203,RICH,Plantier,Tyler,,,
1199,RICH,Schmidt,Kyle,,,
1209,ST,Bailey,Patrick,,,
1216,ST,Conley,Jack,,,
1213,ST,Cooper,Dillon,,,
1211,ST,Deatherage,Brock,,,
